minmod_id,name,aliases,geokb_name,geokb_id,is_critical_commodity
Q501,Abrasive,,abrasive,Q407,0
Q502,"Abrasive, Corundum",,corundum abrasive,Q408,0
Q503,"Abrasive, Emery",,emery abrasive,Q409,0
Q504,"Abrasive, Garnet",,garnet abrasive,Q410,0
Q505,"Aggregate, Light Weight",,light weight aggregate,Q472,0
Q506,Aluminum,Al,aluminum,Q293,1
Q507,"Aluminum, Contained Or Metal",,contained or metal aluminum,Q412,0
Q508,"Aluminum, High Alumina Clay",,high alumina clay aluminum,Q413,0
Q509,Andalusite,,andalusite,Q162208,0
Q510,Antimony,Sb,antimony,Q295,1
Q511,Arsenic,As,arsenic,Q297,1
Q512,Asbestos,,Asbestos,Q162232,0
Q513,Barium-Barite,,barium-barite,Q419,0
Q514,Bismuth,Bi,bismuth,Q302,1
Q515,Boron-Borates,,boron-borates,Q418,0
Q516,Cadmium,Cd,cadmium,Q306,0
Q517,Carbon Dioxide,,carbon dioxide,Q434,0
Q518,Cement Rock,,cement rock,Q420,0
Q519,Chromium,Cr,chromium,Q313,1
Q520,"Chromium, Ferrochrome",,ferrochrome chromium,Q440,0
Q521,Clay,,clay,Q421,0
Q522,"Clay, Ball Clay",,ball clay,Q422,0
Q523,"Clay, Bloating Material",,bloating material clay,Q424,0
Q524,"Clay, Brick",,brick clay,Q423,0
Q525,"Clay, Chlorite",,chlorite clay,Q426,0
Q526,"Clay, Fire (Refractory)",,fire (refractory) clay,Q428,0
Q527,"Clay, Fullers Earth",,fullers earth clay,Q427,0
Q528,"Clay, General",,general clay,Q430,0
Q529,"Clay, Glauconite",,glauconite clay,Q429,0
Q530,"Clay, Hectorite",,hectorite clay,Q431,0
Q531,"Clay, Kaolin",,kaolin clay,Q432,0
Q532,"Clay, Montmorillonite",,montmorillonite clay,Q433,0
Q533,"Coal, Anthracite",,anthracite,Q41375,0
Q534,"Coal, Bituminous",,bituminous coal,Q437,0
Q535,"Coal, Lignite",,lignite coal,Q438,0
Q536,"Coal, Subbituminous",,subbituminous coal,Q439,0
Q537,Cobalt,Co,cobalt,Q314,1
Q538,Copper,Cu,copper,Q315,1
Q539,"Copper, Oxide",,oxide copper,Q441,0
Q540,"Copper, Sulfide",,sulfide copper,Q442,0
Q541,Dolomite,,dolomite,Q162362,0
Q542,Feldspar,,feldspar,Q162399,0
Q543,Fluorine-Fluorite,,fluorine-fluorite,Q446,0
Q544,Gemstone,,gemstone,Q452,0
Q545,"Gemstone, Diamond",,Diamond,Q453,0
Q546,"Gemstone, Emerald",,emerald,Q454,0
Q547,"Gemstone, Ruby",,Ruby,Q456,0
Q548,"Gemstone, Sapphire",,Sapphire,Q457,0
Q549,"Gemstone, Semiprecious",,semiprecious gemstone,Q458,0
Q550,Geothermal,,geothermal,Q459,0
Q551,Gold,Au,gold,Q329,0
Q552,"Gold, Refinery",,refinery gold,Q417,0
Q553,Graphite,,Graphite,Q162418,1
Q554,"Graphite, Carbon",,carbon graphite,Q461,0
Q555,Gypsum-Anhydrite,,gypsum-anhydrite,Q463,0
Q556,"Gypsum-Anhydrite, Alabaster",,alabaster gypsum-anhydrite,Q464,0
Q557,Hafnium,Hf,hafnium,Q330,1
Q558,Helium,He,helium,Q332,1
Q559,Indium,In,indium,Q335,1
Q560,Iodine,I,iodine,Q336,0
Q561,Iron,Fe,iron,Q337,0
Q562,"Iron, Pig Iron",,pig iron,Q447,0
Q563,"Iron, Pyrite",,pyrite iron,Q448,0
Q564,Kyanite,,kyanite,Q162486,0
Q565,Lead,Pb,lead,Q342,0
Q566,"Limestone, Dimension",,dimension limestone,Q470,0
Q567,"Limestone, High Calcium",,high calcium limestone,Q469,0
Q568,"Limestone, Ultra Pure",,ultra pure limestone,Q471,0
Q569,Lithium,Li,lithium,Q343,1
Q570,Magnesite,,magnesite,Q162507,0
Q571,Manganese,Mn,manganese,Q346,1
Q572,"Manganese, Ferromanganese",,ferromanganese manganese,Q477,0
Q573,Mercury,Hg,mercury,Q349,0
Q574,Mica,,Mica,Q162782,0
Q575,Mineral Pigments,,mineral pigments,Q478,0
Q576,Molybdenum,Mo,molybdenum,Q350,1
Q577,Natural Gas,,Natural gas,Q451,0
Q578,Nickel,Ni,nickel,Q354,1
Q579,Niobium,Nb,niobium,Q355,1
Q580,Nitrogen-Nitrates,,nitrogen-nitrates,Q479,0
Q581,Nonmetal,,nonmetal,Q480,0
Q582,platinum-group elements,,platinum-group elements,Q291,0
Q583,Potassium,K,potassium,Q365,1
Q584,"Potassium, Alum",,alum potassium,Q466,0
Q585,Silver,Ag,silver,Q381,0
Q586,"Silver, Refinery",,refinery silver,Q411,0
Q587,Tin,Sn,tin,Q392,1
Q588,Uranium,U,uranium,Q398,1
Q589,Zinc,Zn,zinc,Q403,1
Q590,Beryllium,Be,beryllium,Q301,1
Q591,Cesium,Cs,cesium,Q311,1
Q592,"Clay, Bentonite",,bentonite clay,Q425,0
Q593,Diatomite,,diatomite,Q443,0
Q594,Gallium,Ga,gallium,Q327,1
Q595,Germanium,Ge,germanium,Q328,1
Q596,Iridium,Ir,iridium,Q338,0
Q597,Limestone,,limestone,Q468,0
Q598,Marble,,marble,Q474,0
Q599,Osmium,Os,osmium,Q358,0
Q600,Palladium,Pd,palladium,Q360,0
Q601,Platinum,Pt,platinum,Q362,1
Q602,Pumice,,pumice,Q41360,0
Q603,Rhenium,Re,rhenium,Q371,1
Q604,Rhodium,Rh,rhodium,Q372,0
Q605,Rubidium,Rb,rubidium,Q373,1
Q606,Ruthenium,Ru,ruthenium,Q374,0
Q607,Scandium,Sc,scandium,Q377,1
Q608,Selenium,Se,selenium,Q379,0
Q609,Strontium,Sr,strontium,Q383,1
Q610,Tantalum,Ta,tantalum,Q385,1
Q611,Tellurium,Te,tellurium,Q387,1
Q612,Thallium,Tl,thallium,Q389,0
Q613,Thorium,Th,thorium,Q390,0
Q614,Titanium,Ti,titanium,Q393,1
Q615,Tungsten,W,tungsten,Q394,1
Q616,Vanadium,V,vanadium,Q399,1
Q617,Zirconium,Zr,zirconium,Q404,1
Q618,rare earth elements,,rare earth elements,Q290,0
Q619,Ash,,ash,Q41910,0
Q620,Bromine,Br,bromine,Q305,0
Q621,Calcium,Ca,calcium,Q307,0
Q622,Chlorine,Cl,chlorine,Q312,0
Q623,Flint,,flint,Q450,0
Q624,Granite,,granite,Q462,0
Q625,Hydrogen,H,hydrogen,Q334,0
Q626,"Gemstone, Jade",,jade,Q455,0
Q628,Metal,,metal,Q473,0
Q629,Pyrophyllite,,pyrophyllite,Q162625,0
Q630,Quartz,,quartz,Q162627,0
Q631,Radium,Ra,radium,Q369,0
Q632,Staurolite,,staurolite,Q162679,0
Q633,Sulfur,S,sulfur,Q384,0
Q634,Travertine,,travertine,Q41438,0
Q635,Vermiculite,,vermiculite,Q162738,0
Q636,Wollastonite,,wollastonite,Q162757,0
Q637,Coal,,,,0
Q638,Energy,,,,0
Q639,Flagstone,,,,0
Q640,"Lead, Refiner",,,,0
Q641,"Lead, Smelter",,,,0
Q642,"Nickel, Laterite",,,,0
Q643,"Nickel, Refiner",,,,0
Q644,"Nickel, Smelter",,,,0
Q645,Olivine,,,,0
Q646,Peat,,,,0
Q647,Perlite,,,,0
Q648,Petroleum (Oil),,,,0
Q649,"Petroleum (Oil), Gilsonite",,,,0
Q650,"Petroleum (Oil), Oil Sands",,,,0
Q651,"Petroleum (Oil), Oil Shale",,,,0
Q652,"Petroleum (Oil), Rock Asphalt",,,,0
Q653,Phosphorus-Phosphates,,,,0
Q654,Pyrite,,,,0
Q655,Sand,,,,0
Q656,Sand and Gravel,,,,0
Q657,Silica,,,,0
Q658,"Silica, Ferrosilicon",,,,0
Q659,Slate,,,,0
Q660,Sodium,,,,0
Q661,"Sodium, Halite",,,,0
Q662,"Sodium, Salt",,,,0
Q663,Stone,,,,0
Q664,"Stone, Crushed/Broken",,,,0
Q665,"Stone, Dimension",,,,0
Q666,Sulfides,,,,0
Q667,"Sulfur, Iron Pyrite",,,,0
Q668,"Sulfur, Sulfuric Acid",,,,0
Q669,Talc-Soapstone,,,,0
Q670,"Tantalum, Tin Slag",,,,0
Q671,"Tin, Tailings",,,,0
Q672,"Titanium, Heavy Minerals",,,,0
Q673,"Titanium, Ilmenite",,,,0
Q674,"Titanium, Metal",,,,0
Q675,"Titanium, Pigment",,,,0
Q676,"Titanium, Rutile",,,,0
Q677,"Tungsten, Mill Concentrate",,,,0
Q678,"Tungsten, Refinery",,,,0
Q679,Volcanic Materials,,,,0
Q680,Water,,,,0
Q681,Zeolites,,,,0
Q682,"Zinc, Refiner",,,,0
Q683,"Zinc, Smelter",,,,0
Q684,Barium,Ba,barium,Q299,0
Q685,Silicon,Si,silicon,Q380,0
Q686,Lanthanum,La,lanthanum,Q340,1
Q687,Cerium,Ce,cerium,Q310,1
Q688,Praseodymium,Pr,praseodymium,Q366,1
Q689,Yttrium,Y,yttrium,Q402,1
Q690,Neodymium,Nd,neodymium,Q351,1
Q691,Samarium,Sm,samarium,Q376,1
Q692,Europium,Eu,europium,Q322,1
Q693,Gadolinium,Gd,gadolinium,Q326,1
Q694,Terbium,Tb,terbium,Q388,1
Q695,Dysprosium,Dy,dysprosium,Q319,1
Q696,Holmium,Ho,holmium,Q333,1
Q697,Erbium,Er,erbium,Q321,1
Q698,Thulium,Tm,thulium,Q391,1
Q699,Ytterbium,Yb,ytterbium,Q401,1
Q700,Lutetium,Lu,lutetium,Q344,1
Q10000,Promethium,Pm,promethium,Q367,1
Q10001,Magnesium,Mg,magnesium,Q345,1