id,name,description,score
curated-mining-report::https://api.cdr.land/v1/docs/documents,mining-report,Mining Report storing in CDR,20.0
mining-report::https://api.cdr.land/v1/docs/documents,mining-report,Mining Report storing in CDR,10.0
mining-report::https://w3id.org/usgs/z,mining-report,Mining Report storing in Zotero,10.0
article::http://minmod.isi.edu/papers/lithium-in-nevada-simon-jowitt-2024,article,Jowitt's compiled Lithium data,10.0
article::https://doi.org/10.1016/j.oregeorev.2016.08.010,article,Mudd & Jowitt Zinc Lead data,10.0
article::https://doi.org/10.2113/econgeo.110.8.1925,article,Jowitt REE data,10.0
database::https://doi.org/10.4095/295581,world-tin-tungsten-deposit,World Tin Tungsten Deposit,10.0
database::https://doi.org/10.5066/P96MMRFD,ardf,Alaska Resource Data File,5.0
database::https://doi.org/10.5066/P970GDD5,tri-national-cmmi,"National-Scale Geophysical, Geologic, and Mineral Resource Data and Grids for the United States, Canada, and Australia",5.0
database::https://doi.org/10.5066/P9K1HBNT,earth-mri-usa,Critical mineral deposits of the United States,5.0
article::https://doi.org/10.5382/econgeo.2018.4590,article,Mudd & Jowitt Copper Data,10.0
article::https://doi.org/10.5382/econgeo.4950,article,Mudd & Jowitt Nickel Data,10.0
database::https://mrdata.usgs.gov/asbestos,mrdata-asbestos,"Asbestos mines, prospects, and occurrences in the US",5.0
database::https://mrdata.usgs.gov/carbonatite,mrdata-carbonatite,"Carbonatites of the world, explored deposits of Nb and REE",5.0
database::https://mrdata.usgs.gov/deposit,mrdata-deposit,USMIN Mineral Deposit Database,7.0
database::https://mrdata.usgs.gov/laterite,mrdata-laterite,Ni-Co laterite deposits of the world,5.0
database::https://mrdata.usgs.gov/major-deposits,mrdata-major-deposits,Major mineral deposits of the world,5.0
database::https://mrdata.usgs.gov/mrds,mrdata-mrds,Mineral Resources Data System (MRDS),1.0
database::https://mrdata.usgs.gov/nicrpge,mrdata-nicrpge,PGE-Ni-Cr deposit and occurrence bibliographic database,5.0
database::https://mrdata.usgs.gov/ofr20151121,mrdata-ofr20151121,Phosphate occurrence and potential of south Asia,5.0
database::https://mrdata.usgs.gov/phosphate,mrdata-phosphate,"World phosphate mines, deposits, and occurrences",5.0
database::https://mrdata.usgs.gov/podchrome,mrdata-podchrome,Podiform chromite deposits,5.0
database::https://mrdata.usgs.gov/porcu,mrdata-porcu,Porphyry copper deposits of the world,5.0
database::https://mrdata.usgs.gov/potash,mrdata-potash,Evaporite-related potash resources worldwide,5.0
database::https://mrdata.usgs.gov/pp1802,mrdata-pp1802,"Global distribution of selected mines, deposits, and districts of critical minerals",5.0
database::https://mrdata.usgs.gov/pp577,mrdata-pp577,Mica deposits of the Blue Ridge in North Carolina,5.0
database::https://mrdata.usgs.gov/ree,mrdata-ree,"Rare earth element mines, deposits, and occurrences",5.0
database::https://mrdata.usgs.gov/sedau,mrdata-sedau,Sediment-hosted gold deposits,5.0
database::https://mrdata.usgs.gov/sedcu,mrdata-sedcu,Sediment-hosted copper deposits of the world,5.0
database::https://mrdata.usgs.gov/sedexmvt,mrdata-sedexmvt,Mineral resource data for Mississippi Valley-Type and clastic-dominated sediment-hosted lead-zinc deposits,5.0
database::https://mrdata.usgs.gov/sedznpb,mrdata-sedznpb,Sediment-hosted zinc-lead deposits of the world,5.0
database::https://mrdata.usgs.gov/sir20105090z,mrdata-sir20105090z,Global assessment of undiscovered copper resources,5.0
database::https://mrdata.usgs.gov/vms,mrdata-vms,Volcanogenic massive sulfide deposits,5.0