Code,"Commodity name"
ABR,Abrasive
ABR_C,"Abrasive, Corundum"
ABR_E,"Abrasive, Emery"
ABR_G,"Abrasive, Garnet"
AG,Silver
AG_R,"Silver, Refinery"
AL,Aluminum
AL_C,"Aluminum, Contained Or Metal"
AL_CLY,"Aluminum, High Alumina Clay"
AND,Andalusite
AS,Arsenic
ASB,Asbestos
ASH,Ash
AU,Gold
AU_R,"Gold, Refinery"
B,Boron-Borates
BA,Barium-Barite
BE,Beryllium
BI,Bismuth
BR,Bromine
CA,Calcium
CD,Cadmium
CEM,Cement Rock
CL,Chlorine
CLY,Clay
CLY_BC,"Clay, Ball Clay"
CLY_BK,"Clay, Brick"
CLY_BM,"Clay, Bloating Material"
CLY_BN,"Clay, Bentonite"
CLY_C,"Clay, Chlorite"
CLY_FE,"Clay, Fullers Earth"
CLY_FR,"Clay, Fire (Refractory)"
CLY_GL,"Clay, Glauconite"
CLY_GN,"Clay, General"
CLY_H,"Clay, Hectorite"
CLY_K,"Clay, Kaolin"
CLY_M,"Clay, Montmorillonite"
CO,Cobalt
CO2,Carbon Dioxide
COA,Coal
COA_A,"Coal, Anthracite"
COA_B,"Coal, Bituminous"
COA_L,"Coal, Lignite"
COA_S,"Coal, Subbituminous"
CR,Chromium
CR_F,"Chromium, Ferrochrome"
CS,Cesium
CU,Copper
CU_O,"Copper, Oxide"
CU_S,"Copper, Sulfide"
DIT,Diatomite
DOL,Dolomite
_E,Energy
F,Fluorine-Fluorite
FE,Iron
FE_P,"Iron, Pig Iron"
FE_PYR,"Iron, Pyrite"
FLD,Feldspar
FLN,Flint
GA,Gallium
GAS,Natural Gas
GE,Germanium
GEM,Gemstone
GEM_D,"Gemstone, Diamond"
GEM_E,"Gemstone, Emerald"
GEM_J,"Gemstone, Jade"
GEM_R,"Gemstone, Ruby"
GEM_SA,"Gemstone, Sapphire"
GEM_SP,"Gemstone, Semiprecious"
GEO,Geothermal
GRF,Graphite
GRF_C,"Graphite, Carbon"
GRT,Granite
GYP,Gypsum-Anhydrite
GYP_A,"Gypsum-Anhydrite, Alabaster"
H,Hydrogen
H2O,Water
HE,Helium
HF,Hafnium
HG,Mercury
I,Iodine
IN,Indium
K,Potassium
K_A,"Potassium, Alum"
KYN,Kyanite
LI,Lithium
LST,Limestone
LST_C,"Limestone, High Calcium"
LST_D,"Limestone, Dimension"
LST_P,"Limestone, Ultra Pure"
LWA,"Aggregate, Light Weight"
_M,Metal
MBL,Marble
MG,Magnesite
MIC,Mica
MN,Manganese
MN_F,"Manganese, Ferromanganese"
MO,Molybdenum
MPG,Mineral Pigments
N,Nitrogen-Nitrates
_N,Nonmetal
NA,Sodium
NA_H,"Sodium, Halite"
NA_S,"Sodium, Salt"
NB,Niobium
NI,Nickel
NI_L,"Nickel, Laterite"
NI_R,"Nickel, Refiner"
NI_S,"Nickel, Smelter"
OIL,Petroleum (Oil)
OIL_G,"Petroleum (Oil), Gilsonite"
OIL_R,"Petroleum (Oil), Rock Asphalt"
OIL_SA,"Petroleum (Oil), Oil Sands"
OIL_SH,"Petroleum (Oil), Oil Shale"
OLV,Olivine
P,Phosphorus-Phosphates
PB,Lead
PB_R,"Lead, Refiner"
PB_S,"Lead, Smelter"
PEA,Peat
PER,Perlite
PGE,platinum-group elements
PGE_IR,Iridium
PGE_OS,Osmium
PGE_PD,Palladium
PGE_PT,Platinum
PGE_RH,Rhodium
PGE_RU,Ruthenium
PPY,Pyrophyllite
PUM,Pumice
PYR,Pyrite
QTZ,Quartz
RA,Radium
RB,Rubidium
RE,Rhenium
REE,rare earth elements
S,Sulfur
S_A,"Sulfur, Sulfuric Acid"
SB,Antimony
SC,Scandium
SD,Sand
SDG,Sand and Gravel
SE,Selenium
SIL,Silica
SIL_F,"Silica, Ferrosilicon"
SLA,Slate
SN,Tin
SN_T,"Tin, Tailings"
S_P,"Sulfur, Iron Pyrite"
SR,Strontium
STA,Staurolite
STN,Stone
STN_C,"Stone, Crushed/Broken"
STN_D,"Stone, Dimension"
STN_F,Flagstone
SUL,Sulfides
TA,Tantalum
TA_S,"Tantalum, Tin Slag"
TE,Tellurium
TH,Thorium
TI,Titanium
TI_HM,"Titanium, Heavy Minerals"
TI_I,"Titanium, Ilmenite"
TI_M,"Titanium, Metal"
TI_P,"Titanium, Pigment"
TI_R,"Titanium, Rutile"
TL,Thallium
TLC,Talc-Soapstone
TRA,Travertine
U,Uranium
V,Vanadium
VOL,Volcanic Materials
VRM,Vermiculite
W,Tungsten
W_C,"Tungsten, Mill Concentrate"
WOL,Wollastonite
W_R,"Tungsten, Refinery"
ZEO,Zeolites
ZN,Zinc
ZN_R,"Zinc, Refiner"
ZN_S,"Zinc, Smelter"
ZR,Zirconium